name,price,description,quantity,brand,type,imagePath,CategoryId
HP Nokia 105 Dual SIM 2017,239993,Nokia 105 Dual SIM 2017 merupakan handphone Nokia yang didesain klasik dan ergonomis. Waktu bicara hingga 15 jam dan dan satu bulan dalam kondisi siaga.,50,Nokia,105 Dual SIM 2017,_img/oppo_f11.png,1
OPPO F11 Pro,4999000,OPPO F11 Pro merupakan handphone OPPO yang didesain klasik dan ergonomis. Waktu bicara hingga 15 jam dan dan satu bulan dalam kondisi siaga,40,OPPO,F11 Pro,_img/oppo_f11.png,4
2018 Microsoft Surface Pro 6 Core i7,23250000,Microsoft Surface Pro 6 Core i7 merupakan laptop Microsoft yang didesain klasik dan ergonomis.,12,Microsoft,Surface,_img/oppo_f11.png,5
HP Nokia 105 Dual SIM 2017,239993,Nokia 105 Dual SIM 2017 merupakan handphone Nokia yang didesain klasik dan ergonomis. Waktu bicara hingga 15 jam dan dan satu bulan dalam kondisi siaga.,50,Nokia,105 Dual SIM 2017,_img/oppo_f11.png,1
OPPO F11 Pro,4999000,OPPO F11 Pro merupakan handphone OPPO yang didesain klasik dan ergonomis. Waktu bicara hingga 15 jam dan dan satu bulan dalam kondisi siaga,40,OPPO,F11 Pro,_img/oppo_f11.png,2
2018 Microsoft Surface Pro 6 Core i7,23250000,Microsoft Surface Pro 6 Core i7 merupakan laptop Microsoft yang didesain klasik dan ergonomis.,12,Microsoft,Surface,_img/oppo_f11.png,3
HP Nokia 105 Dual SIM 2017,239993,Nokia 105 Dual SIM 2017 merupakan handphone Nokia yang didesain klasik dan ergonomis. Waktu bicara hingga 15 jam dan dan satu bulan dalam kondisi siaga.,50,Nokia,105 Dual SIM 2017,_img/oppo_f11.png,1
OPPO F11 Pro,4999000,OPPO F11 Pro merupakan handphone OPPO yang didesain klasik dan ergonomis. Waktu bicara hingga 15 jam dan dan satu bulan dalam kondisi siaga,40,OPPO,F11 Pro,_img/oppo_f11.png,2
2018 Microsoft Surface Pro 6 Core i7,23250000,Microsoft Surface Pro 6 Core i7 merupakan laptop Microsoft yang didesain klasik dan ergonomis.,12,Microsoft,Surface,_img/oppo_f11.png,3
HP Nokia 105 Dual SIM 2017,239993,Nokia 105 Dual SIM 2017 merupakan handphone Nokia yang didesain klasik dan ergonomis. Waktu bicara hingga 15 jam dan dan satu bulan dalam kondisi siaga.,50,Nokia,105 Dual SIM 2017,_img/oppo_f11.png,1
OPPO F11 Pro,4999000,OPPO F11 Pro merupakan handphone OPPO yang didesain klasik dan ergonomis. Waktu bicara hingga 15 jam dan dan satu bulan dalam kondisi siaga,40,OPPO,F11 Pro,_img/oppo_f11.png,2
2018 Microsoft Surface Pro 6 Core i7,23250000,Microsoft Surface Pro 6 Core i7 merupakan laptop Microsoft yang didesain klasik dan ergonomis.,12,Microsoft,Surface,_img/oppo_f11.png,3
HP Nokia 105 Dual SIM 2017,239993,Nokia 105 Dual SIM 2017 merupakan handphone Nokia yang didesain klasik dan ergonomis. Waktu bicara hingga 15 jam dan dan satu bulan dalam kondisi siaga.,50,Nokia,105 Dual SIM 2017,_img/oppo_f11.png,1
OPPO F11 Pro,4999000,OPPO F11 Pro merupakan handphone OPPO yang didesain klasik dan ergonomis. Waktu bicara hingga 15 jam dan dan satu bulan dalam kondisi siaga,40,OPPO,F11 Pro,_img/oppo_f11.png,2
2018 Microsoft Surface Pro 6 Core i7,23250000,Microsoft Surface Pro 6 Core i7 merupakan laptop Microsoft yang didesain klasik dan ergonomis.,12,Microsoft,Surface,_img/oppo_f11.png,3
